GPSpt,Treated,Date,Time,Species,NumIn,NumOut,Total,BreedNotes
128,Yes,20151023,600,African Paradise Flycatcher,3,1,4,none
128,Yes,20151023,600,Red-eyed Dove,0,1,1,none
128,Yes,20151023,600,Black-headed Oriole,0,1,1,none
128,Yes,20151023,600,African Goshawk,0,1,1,none
128,Yes,20151023,600,Bearded Woodpecker,0,1,1,none
128,Yes,20151023,600,Black-headed Oriole,0,1,1,none
128,Yes,20151023,600,Chinspot Batis,0,1,1,none
128,Yes,20151023,600,Rattling Cisticola,0,1,1,none
128,Yes,20151023,600,Brubru,0,1,1,none
128,Yes,20151023,600,Black-backed Puffback,0,1,1,none
128,Yes,20151023,600,Burchells Coucal,3,0,3,none
128,Yes,20151023,600,Southern Black Tit,3,0,3,none
128,Yes,20151023,600,Emerald-spotted Wood Dove,1,0,1,none
128,Yes,20151023,600,White-bellied Sunbird,1,0,1,none
128,Yes,20151023,600,Yellow-throated Petronia,1,0,1,none
128,Yes,20151023,600,Orange-breasted Bushshrike,1,0,1,none
128,Yes,20151023,657,Emerald-spotted Wood Dove,0,2,2,none
128,Yes,20151023,657,Black-headed Oriole,1,1,2,none
128,Yes,20151023,657,Purple-banded Sunbird,1,1,2,none
128,Yes,20151023,657,Dark-capped Bulbul,0,1,1,none
128,Yes,20151023,657,Scarlet-chested Sunbird,0,1,1,none
128,Yes,20151023,657,Rattling Cisticola,2,0,2,none
128,Yes,20151023,657,Orange-breasted Bushshrike,1,0,1,none
128,Yes,20151023,657,White-bellied Sunbird,1,0,1,none
128,Yes,20151101,557,Dark-capped Bulbul,2,1,3,none
128,Yes,20151101,557,Bearded Woodpecker,0,1,1,none
128,Yes,20151101,557,Black Cuckooshrike,0,1,1,none
128,Yes,20151101,557,White-browed Scrub Robin,0,1,1,none
128,Yes,20151101,557,Klaass Cuckoo,0,1,1,none
128,Yes,20151101,557,Emerald-spotted Wood Dove,2,0,2,none
128,Yes,20151101,557,African Pygmy Kingfisher,2,0,2,none
128,Yes,20151101,557,Cape Glossy Starling,2,0,2,none
128,Yes,20151101,557,Orange-breasted Bushshrike,1,0,1,none
128,Yes,20151101,557,Rattling Cisticola,1,0,1,none
128,Yes,20151101,557,Fork-tailed Drongo,1,0,1,none
128,Yes,20151101,557,Southern Black Tit,1,0,1,none
128,Yes,20151101,640,White-crested Helmetshrike,0,3,3,none
128,Yes,20151101,640,Black-backed Puffback,0,2,2,none
128,Yes,20151101,640,Emerald-spotted Wood Dove,1,1,2,none
128,Yes,20151101,640,White-browed Scrub Robin,1,1,2,none
128,Yes,20151101,640,Orange-breasted Bushshrike,0,1,1,none
128,Yes,20151101,640,Yellow-breasted Apalis,0,1,1,none
128,Yes,20151101,640,Black Cuckooshrike,0,1,1,none
128,Yes,20151101,640,Black-crowned Tchagra,0,1,1,none
128,Yes,20151101,640,Blue Waxbill,0,1,1,none
128,Yes,20151101,640,Rattling Cisticola,2,0,2,none
128,Yes,20151101,640,Burchells Coucal,2,0,2,none
128,Yes,20151101,640,African Pygmy Kingfisher,1,0,1,none
128,Yes,20151109,548,Terrestrial Brownbul,0,2,2,none
128,Yes,20151109,548,Emerald-spotted Wood Dove,1,1,2,none
128,Yes,20151109,548,Southern Black Tit,1,1,2,none
128,Yes,20151109,548,Burchells Coucal,0,1,1,none
128,Yes,20151109,548,Black Cuckooshrike,0,1,1,none
128,Yes,20151109,548,Black-headed Oriole,0,1,1,none
128,Yes,20151109,548,Red-eyed Dove,0,1,1,none
128,Yes,20151109,548,Golden-breasted Bunting,0,1,1,none
128,Yes,20151109,548,Rattling Cisticola,0,1,1,none
128,Yes,20151109,548,Chinspot Batis,0,1,1,none
128,Yes,20151109,548,Yellow-fronted Canary,3,0,3,none
128,Yes,20151109,548,African Paradise Flycatcher,2,0,2,none
128,Yes,20151109,548,Striped Kingfisher,2,0,2,none
128,Yes,20151109,548,White-crested Helmetshrike,2,0,2,none
128,Yes,20151109,548,Bearded Woodpecker,1,0,1,none
128,Yes,20151109,548,Dark-capped Bulbul,1,0,1,none
128,Yes,20151109,548,Sombre Greenbul,1,0,1,none
128,Yes,20151109,548,White-bellied Sunbird,1,0,1,none
128,Yes,20151109,819,Emerald-spotted Wood Dove,0,2,2,none
128,Yes,20151109,819,Long-billed Crombec,0,1,1,none
128,Yes,20151109,819,Fork-tailed Drongo,0,1,1,none
128,Yes,20151109,819,Bearded Woodpecker,0,1,1,none
128,Yes,20151109,819,Violet-backed Starling,0,1,1,none
128,Yes,20151109,819,White-crested Helmetshrike,3,0,3,none
128,Yes,20151109,819,Yellow-fronted Canary,2,0,2,none
128,Yes,20151109,819,Southern Black Tit,2,0,2,none
128,Yes,20151109,819,Sombre Greenbul,1,0,1,none
128,Yes,20151109,819,Black-backed Puffback,1,0,1,none
128,Yes,20151109,819,African Paradise Flycatcher,1,0,1,none
128,Yes,20151109,819,Black-headed Oriole,1,0,1,none
128,Yes,20151109,819,Cape Glossy Starling,1,0,1,none
128,Yes,20151125,646,Gorgeous Bushshrike,0,2,2,none
128,Yes,20151125,646,Red-eyed Dove,0,2,2,none
128,Yes,20151125,646,Brubru,0,1,1,none
128,Yes,20151125,646,Chinspot Batis,0,1,1,none
128,Yes,20151125,646,Dark-capped Bulbul,4,0,4,none
128,Yes,20151125,646,White-crested Helmetshrike,3,0,3,none
128,Yes,20151125,646,Emerald-spotted Wood Dove,2,0,2,none
128,Yes,20151125,646,Southern Black Tit,2,0,2,none
128,Yes,20151125,646,Scarlet-chested Sunbird,1,0,1,none
128,Yes,20151125,646,Bearded Woodpecker,1,0,1,none
128,Yes,20151125,646,White-bellied Sunbird,1,0,1,none
128,Yes,20151125,646,Green-backed Camaroptera,1,0,1,none
128,Yes,20151125,646,African Green Pigeon,1,0,1,none
128,Yes,20151125,646,Orange-breasted Bushshrike,1,0,1,none
128,Yes,20151125,646,Rattling Cisticola,1,0,1,none
128,Yes,20151125,940,Black-headed Oriole,0,2,2,none
128,Yes,20151125,940,Black-collared Barbet,0,2,2,none
128,Yes,20151125,940,Kurrichane Thrush,0,1,1,none
128,Yes,20151125,940,Emerald-spotted Wood Dove,0,1,1,none
128,Yes,20151125,940,White-bellied Sunbird,3,0,3,none
128,Yes,20151125,940,Dark-capped Bulbul,1,0,1,none
128,Yes,20151125,940,Green-backed Camaroptera,1,0,1,none
128,Yes,20151125,940,Cape Glossy Starling,1,0,1,none
128,Yes,20151125,940,Bearded Woodpecker,1,0,1,none
128,Yes,20151205,700,Emerald-spotted Wood Dove,1,1,2,none
128,Yes,20151205,700,Red-eyed Dove,1,1,2,none
128,Yes,20151205,700,Black-backed Puffback,0,1,1,none
128,Yes,20151205,700,Bearded Woodpecker,0,1,1,none
128,Yes,20151205,700,Orange-breasted Bushshrike,0,1,1,none
128,Yes,20151205,700,Woodland Kingfisher,0,1,1,none
128,Yes,20151205,700,Grey-headed Bushshrike,0,1,1,none
128,Yes,20151205,700,Long-billed Crombec,0,1,1,none
128,Yes,20151205,700,White-crested Helmetshrike,3,0,3,none
128,Yes,20151205,700,Yellow-throated Petronia,3,0,3,none
128,Yes,20151205,700,African Paradise Flycatcher,2,0,2,none
128,Yes,20151205,700,Dark-capped Bulbul,2,0,2,none
128,Yes,20151205,700,Scarlet-chested Sunbird,2,0,2,Delivering food to nest
128,Yes,20151205,700,Southern Black Tit,2,0,2,none
128,Yes,20151205,700,White-bellied Sunbird,1,0,1,none
128,Yes,20151205,700,Black-headed Oriole,1,0,1,none
128,Yes,20151205,700,Red-backed Shrike,1,0,1,none
128,Yes,20151205,700,Chinspot Batis,1,0,1,none
128,Yes,20151205,700,Black-crowned Tchagra,1,0,1,none
128,Yes,20151205,700,Black Cuckooshrike,1,0,1,none
128,Yes,20151205,700,Kurrichane Thrush,1,0,1,none
128,Yes,20151205,700,Golden-breasted Bunting,1,0,1,none
128,Yes,20151205,700,Golden-tailed Woodpecker,1,0,1,none
128,Yes,20151205,940,Black-headed Oriole,0,1,1,none
128,Yes,20151205,940,Dark-capped Bulbul,3,0,3,none
