GPSpt,Treated,Date,Time,Species,NumIn,NumOut,Total,BreedNotes
43,1,20160111,1404,Black-headed Oriole,0,1,1,
43,1,20160111,1404,Yellow-fronted Canary,0,2,2,
43,1,20160111,1404,Dark-capped Bulbul,1,0,1,
43,1,20160111,1404,Green-backed Camaroptera,1,0,1,
43,1,20160111,1404,White-browed Scrub Robin,0,1,1,
43,1,20160111,1404,Golden-tailed Woodpecker,0,1,1,
43,1,20160111,1404,Kurrichane Thrush,0,1,1,
43,1,20160111,1404,Yellow-breasted Apalis,2,0,2,
43,1,20160111,1404,White-bellied Sunbird,1,0,1,
44,1,20160111,1419,White-browed Scrub Robin,0,1,1,
44,1,20160111,1419,Terrestrial Brownbul,2,0,2,
44,1,20160111,1419,Green-backed Camaroptera,0,2,2,
44,1,20160111,1419,Black-backed Puffback,0,1,1,
44,1,20160111,1419,Golden-tailed Woodpecker,1,0,1,
44,1,20160111,1419,Sombre Greenbul,0,1,1,
44,1,20160111,1419,Southern Black Tit,0,2,2,
44,1,20160111,1419,Woodland Kingfisher,1,0,1,
44,1,20160111,1419,Fork-tailed Drongo,0,2,2,
44,1,20160111,1419,Yellow-throated Petronia,0,1,1,
44,1,20160111,1419,Bearded Woodpecker,0,1,1,
44,1,20160111,1419,Kurrichane Thrush,0,1,1,
44,1,20160111,1419,Long-billed Crombec,0,1,1,
44,1,20160111,1419,Violet-backed Starling,1,0,1,
44,1,20160111,1419,Cape Glossy Starling,0,2,2,
45,1,20160111,1437,Violet-backed Starling,1,0,1,
45,1,20160111,1437,Fork-tailed Drongo,2,0,2,
45,1,20160111,1437,Yellow-throated Petronia,0,1,1,
45,1,20160111,1437,Green-backed Camaroptera,0,1,1,
45,1,20160111,1437,Kurrichane Thrush,1,0,1,
45,1,20160111,1437,Yellow-breasted Apalis,0,2,2,
45,1,20160111,1437,Golden-tailed Woodpecker,1,0,1,
45,1,20160111,1437,Black-backed Puffback,0,1,1,
46,1,20160111,1452,Fork-tailed Drongo,0,1,1,
46,1,20160111,1452,White-crested Helmetshrike,0,3,3,
46,1,20160111,1452,Dark-capped Bulbul,0,1,1,
46,1,20160111,1452,Black-backed Puffback,0,1,1,
46,1,20160111,1452,Green-backed Camaroptera,0,1,1,
46,1,20160111,1452,Eastern Nicator,0,1,1,
46,1,20160111,1452,White-bellied Sunbird,1,0,1,
47,1,20160111,1507,Black-crowned Tchagra,1,0,1,
47,1,20160111,1507,Fork-tailed Drongo,0,2,2,
47,1,20160111,1507,Black Cuckooshrike,0,1,1,
47,1,20160111,1507,Woodland Kingfisher,1,0,1,
47,1,20160111,1507,Black-headed Oriole,0,1,1,
48,0,20160111,1524,Black Cuckooshrike,1,0,1,
48,0,20160111,1524,Rattling Cisticola,1,0,1,
48,0,20160111,1524,Yellow-fronted Canary,2,0,2,
48,0,20160111,1524,Scarlet-chested Sunbird,1,0,1,
49,0,20160111,1539,European Bee-eater,0,1,1,
49,0,20160111,1539,Emerald-spotted Wood Dove,2,0,2,
49,0,20160111,1539,White-bellied Sunbird,1,0,1,
49,0,20160111,1539,Barn Swallow,1,0,1,
49,0,20160111,1539,Sombre Greenbul,0,1,1,
49,0,20160111,1539,Black Cuckooshrike,0,1,1,
49,0,20160111,1539,Dark-capped Bulbul,2,0,2,
50,0,20160111,1555,Golden-breasted Bunting,1,0,1,
50,0,20160111,1555,European Bee-eater,0,2,2,
50,0,20160111,1555,Dark-capped Bulbul,0,2,2,
50,0,20160111,1555,Rattling Cisticola,0,2,2,
50,0,20160111,1555,African Paradise Flycatcher,1,0,1,
50,0,20160111,1555,Yellow-breasted Apalis,0,2,2,
50,0,20160111,1555,Eastern Nicator,0,1,1,
50,0,20160111,1555,Black-headed Oriole,0,1,1,
48,0,20160113,505,Eastern Nicator,1,1,2,
48,0,20160113,505,African Paradise Flycatcher,1,0,1,
48,0,20160113,505,Dark-capped Bulbul,2,1,3,
48,0,20160113,505,Rattling Cisticola,0,1,1,
48,0,20160113,505,Southern Black Tit,0,1,1,
48,0,20160113,505,White-browed Scrub Robin,0,1,1,
48,0,20160113,505,Black-headed Oriole,0,1,1,
49,0,20160113,520,Eastern Nicator,1,0,1,
49,0,20160113,520,Dark-capped Bulbul,2,2,4,
49,0,20160113,520,Sombre Greenbul,0,1,1,
49,0,20160113,520,African Paradise Flycatcher,0,1,1,
49,0,20160113,520,Golden-tailed Woodpecker,1,0,1,
49,0,20160113,520,Fork-tailed Drongo,0,1,1,
49,0,20160113,520,Green-backed Camaroptera,0,1,1,
49,0,20160113,520,Black Cuckooshrike,0,1,1,
49,0,20160113,520,Red-eyed Dove,0,1,1,
50,0,20160113,535,Fork-tailed Drongo,0,1,1,
50,0,20160113,535,White-browed Scrub Robin,0,1,1,
50,0,20160113,535,Dark-capped Bulbul,2,0,2,
50,0,20160113,535,Black Cuckooshrike,0,1,1,
50,0,20160113,535,Sombre Greenbul,0,1,1,
50,0,20160113,535,Violet-backed Starling,0,1,1,
50,0,20160113,535,Eastern Nicator,0,1,1,
50,0,20160113,535,Black-backed Puffback,0,1,1,
50,0,20160113,535,Green-backed Camaroptera,1,0,1,
51,0,20160113,550,White-browed Scrub Robin,0,1,1,
51,0,20160113,550,Emerald-spotted Wood Dove,0,1,1,
47,1,20160113,620,Dark-capped Bulbul,3,1,4,
47,1,20160113,620,Fork-tailed Drongo,0,2,2,
47,1,20160113,620,Black-headed Oriole,0,1,1,
47,1,20160113,620,Emerald-spotted Wood Dove,1,1,2,
47,1,20160113,620,Cape Glossy Starling,0,1,1,
47,1,20160113,620,Southern Black Tit,0,1,1,
