GPSpt,Date,Time,Species,NumIn,NumOut,Total,BreedNotes
23,41987,449,Fork-tailed Drongo,1,,1,
23,41987,449,Red-eyed Dove,1,,1,singing
23,41987,449,Dideric Cuckoo,1,,1,
23,41987,449,Cape Turtle Dove,1,,1,singing
23,41987,449,Rattling Cisticola,1,,1,singing
23,41987,449,Grey-headed Bushshrike,1,,1,singing
23,41987,449,Dark-capped Bulbul,2,,2,
23,41987,449,African Paradise Flycatcher,2,,2,
23,41987,449,Yellow-fronted Canary,2,,2,
23,41987,449,Woodland Kingfisher,,1,1,
23,41987,449,Black-headed Oriole,,1,1,
23,41987,449,Red-chested Cuckoo,,1,1,singing
23,41987,449,Emerald-spotted Wood Dove,,1,1,singing
23,41987,449,Arrow-marked Babbler,,4,4,
24,41987,509,Eastern Nicator,1,,1,
24,41987,509,Grey-headed Bushshrike,1,,1,
24,41987,509,Black-headed Oriole,1,,1,
24,41987,509,Red-eyed Dove,1,,1,singing
24,41987,509,Black-crowned Tchagra,1,,1,singing
24,41987,509,Scarlet-chested Sunbird,1,,1,
24,41987,509,Klaas's Cuckoo,1,,1,singing
24,41987,509,White-bellied Sunbird,1,,1,singing
24,41987,509,Dark-capped Bulbul,2,,2,singing
24,41987,509,Emerald-spotted Wood Dove,,1,1,singing
24,41987,509,Woodland Kingfisher,,1,1,singing
24,41987,509,Cape Turtle Dove,,1,1,
24,41987,509,Long-billed Crombec,,1,1,singing
24,41987,509,Burchell's Coucal,,1,1,singing
25,41987,530,Dideric Cuckoo,1,,1,singing
25,41987,530,Black-headed Oriole,1,,1,
25,41987,530,Crested Barbet,1,,1,singing
25,41987,530,Black-crowned Tchagra,1,,1,singing
25,41987,530,Tawny-flanked Prinia,1,,1,singing
25,41987,530,White-bellied Sunbird,1,,1,singing
25,41987,530,Emerald-spotted Wood Dove,2,,2,counter-singing
25,41987,530,Burchell's Coucal,2,,2,singing
25,41987,530,Rattling Cisticola,2,,2,singing
25,41987,530,Red-billed Oxpecker,3,,3,
25,41987,530,Dark-capped Bulbul,3,,3,
25,41987,530,Red-chested Cuckoo,,1,1,singing
25,41987,530,Red-eyed Dove,,1,1,singing
26,41987,605,Dark-capped Bulbul,1,1,2,singing
26,41987,605,Little Bee-eater,1,,1,
26,41987,605,Emerald-spotted Wood Dove,1,,1,singing
26,41987,605,Yellow-fronted Canary,1,,1,singing
26,41987,605,Tawny-flanked Prinia,1,,1,singing
26,41987,605,Black-crowned Tchagra,1,,1,singing
26,41987,605,Crested Barbet,1,,1,singing
26,41987,605,Sand Martin,1,,1,
26,41987,605,Rattling Cisticola,2,,2,singing
26,41987,605,Green Wood-Hoopoe,4,,4,
26,41987,605,Lesser Masked Weaver,4,,4,green nests present
26,41987,605,Red-collared Widowbird,5,,5,
26,41987,605,Red-billed Quelea,20,,20,
26,41987,605,Dideric Cuckoo,,1,1,singing
26,41987,605,Brown-crowned Tchagra,,1,1,singing
26,41987,605,Arrow-marked Babbler,,3,3,
27,41987,640,Tawny-flanked Prinia,1,,1,singing
27,41987,640,Spotted Flycatcher,1,,1,
27,41987,640,Black-headed Oriole,1,,1,
27,41987,640,Woodland Kingfisher,1,,1,singing
27,41987,640,Chinspot Batis,2,,2,singing
27,41987,640,Rattling Cisticola,2,,2,singing
27,41987,640,Cape Glossy Starling,2,,2,nest material in bill
27,41987,640,Arrow-marked Babbler,2,,2,
27,41987,640,Lesser Striped Swallow,2,,2,
27,41987,640,Dark-capped Bulbul,3,,3,singing
27,41987,640,Purple-crested Turaco,,1,1,
27,41987,640,Red-eyed Dove,,1,1,singing
27,41987,640,Cape Turtle Dove,,2,2,singing
27,41987,640,European Bee-eater,,3,3,
28,41987,717,Kurrichane Thrush,1,,1,singing
28,41987,717,Brown-crowned Tchagra,1,,1,singing
28,41987,717,White-bellied Sunbird,1,,1,singing
28,41987,717,Tawny-flanked Prinia,1,,1,singing
28,41987,717,Golden-tailed Woodpecker,1,,1,
28,41987,717,Yellow-rumped Tinkerbird,1,,1,singing
28,41987,717,Emerald-spotted Wood Dove,2,,2,singing
28,41987,717,Rattling Cisticola,2,,2,"singing, chasing"
28,41987,717,Dark-capped Bulbul,3,,3,
28,41987,717,Purple-crested Turaco,,1,1,
28,41987,717,Eastern Nicator,,1,1,
30,41987,811,Emerald-spotted Wood Dove,1,,1,
30,41987,811,Dark-capped Bulbul,1,,1,singing
30,41987,811,African Paradise Flycatcher,1,,1,
30,41987,811,Black-backed Puffback,1,,1,puffing display
30,41987,811,Rattling Cisticola,2,,2,singing
30,41987,811,Tawny-flanked Prinia,2,,2,singing
30,41987,811,Yellow-rumped Tinkerbird,,1,1,singing
32,41987,855,Kurrichane Thrush,1,,1,singing
32,41987,855,Dideric Cuckoo,1,,1,singing
32,41987,855,Red-faced Mousebird,1,,1,
32,41987,855,Rattling Cisticola,1,,1,singing
32,41987,855,Tawny-flanked Prinia,2,,2,
32,41987,855,Croaking Cisticola,,1,1,singing
32,41987,855,Emerald-spotted Wood Dove,,1,1,singing
32,41987,855,Swainson's Spurfowl,,1,1,
32,41987,855,African Fish Eagle,,2,2,
33,41987,945,Tawny-flanked Prinia,1,,1,singing
33,41987,945,Rattling Cisticola,2,,2,singing
33,41987,945,Dark-capped Bulbul,3,,3,singing
33,41987,945,Brown-crowned Tchagra,,1,1,singing
34,41990,454,Yellow-fronted Canary,1,2,3,singing
34,41990,454,Southern Grey-headed Sparrow,1,,1,singing
34,41990,454,Dark-capped Bulbul,,1,1,singing
34,41990,454,Rattling Cisticola,,1,1,
34,41990,454,Eastern Nicator,,2,2,
35,41990,515,Yellow-fronted Canary,1,,1,singing
35,41990,515,Rattling Cisticola,1,,1,singing
35,41990,515,Black Cuckooshrike,1,,1,
35,41990,515,Green Wood-Hoopoe,3,,3,
35,41990,515,Klaas's Cuckoo,,1,1,singing
35,41990,515,Eastern Nicator,,1,1,
35,41990,515,Swainson's Spurfowl,,1,1,
35,41990,515,Red-faced Mousebird,,1,1,
35,41990,515,Burchell's Coucal,,1,1,singing
35,41990,515,Emerald-spotted Wood Dove,,1,1,singing
35,41990,515,Black-headed Oriole,,1,1,
35,41990,515,Dark-capped Bulbul,,2,2,singing
36,41990,534,Rattling Cisticola,1,,1,singing
36,41990,534,Southern Black Tit,1,,1,
36,41990,534,Violet-backed Starling,1,,1,
36,41990,534,African Palm Swift,1,,1,
36,41990,534,Golden-breasted Bunting,1,,1,
36,41990,534,African Paradise Flycatcher,1,,1,
36,41990,534,Chinspot Batis,2,,2,
36,41990,534,Woodland Kingfisher,2,,2,singing
36,41990,534,Yellow-fronted Canary,3,,3,
36,41990,534,Yellow-throated Petronia,3,,3,singing
36,41990,534,Cape Glossy Starling,3,,3,
36,41990,534,Burchell's Coucal,,1,1,
36,41990,534,Black-headed Oriole,,1,1,
37,41990,642,Rattling Cisticola,1,,1,
37,41990,642,Yellow-fronted Canary,1,,1,
37,41990,642,Golden-breasted Bunting,1,,1,
37,41990,642,Red-eyed Dove,1,,1,
37,41990,642,Black-backed Puffback,1,,1,
37,41990,642,Black-collared Barbet,2,,2,singing
37,41990,642,Tawny-flanked Prinia,2,,2,singing
37,41990,642,Dark-capped Bulbul,4,,4,
37,41990,642,Emerald-spotted Wood Dove,,1,1,
37,41990,642,Burchell's Coucal,,1,1,
37,41990,642,Eastern Nicator,,1,1,
37,41990,642,Grey-headed Bushshrike,,1,1,singing
37,41990,642,Dideric Cuckoo,,1,1,singing
37,41990,642,Scaly-throated Honeyguide,,1,1,
37,41990,642,Orange-breasted Bushshrike,,1,1,singing
37,41990,642,Cape Glossy Starling,,2,2,
38,41990,627,Tawny-flanked Prinia,1,,1,
38,41990,627,Dark-capped Bulbul,1,,1,
38,41990,627,Black-backed Puffback,1,,1,
38,41990,627,Cape Turtle Dove,1,,1,
38,41990,627,Yellow-fronted Canary,2,,2,
38,41990,627,Fork-tailed Drongo,2,,2,
38,41990,627,Rattling Cisticola,2,,2,
38,41990,627,Black-headed Oriole,,1,1,
38,41990,627,Orange-breasted Bushshrike,,2,2,
39,41990,612,Rattling Cisticola,1,,1,
39,41990,612,Golden-breasted Bunting,1,,1,nest material in bill
39,41990,612,Tawny-flanked Prinia,1,,1,
39,41990,612,Black Cuckooshrike,1,,1,
39,41990,612,Burchell's Coucal,1,,1,
39,41990,612,Dark-capped Bulbul,3,,3,
39,41990,612,Green Wood-Hoopoe,3,,3,
39,41990,612,White-crested Helmetshrike,6,,6,
39,41990,612,Woodland Kingfisher,,1,1,displaying
39,41990,612,Eastern Nicator,,1,1,
39,41990,612,Black-headed Oriole,,1,1,
39,41990,612,Black-crowned Tchagra,,1,1,
39,41990,612,Grey-headed Bushshrike,,1,1,
39,41990,612,Trumpeter Hornbill,,1,1,
39,41990,612,Emerald-spotted Wood Dove,,2,2,
40,41990,732,Tawny-flanked Prinia,1,,1,
40,41990,732,Rattling Cisticola,1,,1,
40,41990,732,Yellow-bellied Eremomela,1,,1,
40,41990,732,Emerald-spotted Wood Dove,,1,1,
40,41990,732,Cape Glossy Starling,,1,1,
40,41990,732,Black-headed Oriole,,1,1,
