GPSpt,Date,ShrCover1,GrassCover1,TreeCover1,SH1,SH2,SH3,SH4,SH5,GH1,GH2,GH3,GH4,GH5,ShrCover2,GrassCover2,TreeCover2,SH6,SH7,SH8,SH9,SH10,GH6,GH7,GH8,GH9,GH10,ShrCover3,GrassCover3,TreeCover3,SH11,SH12,SH13,SH14,SH15,GH11,GH12,GH13,GH14,GH15,Buildings,Notes
23,20150127,14,37,53,1,2.4,1.3,1.9,1.7,shin,,shin,shin,,13,68,6,1.2,1.6,1.4,1.3,1,shin,knee,shin,knee,shin,11,57,59,1.2,,1.8,,,shin,knee,knee,knee,shin,0,
24,20150127,13,67,63,1.1,1.3,2,1.4,1.3,ankle,shin,shin,shin,ankle,9,54,59,1.3,1.9,0.8,0.7,1.6,shin,knee,ankle,knee,knee,7,72,44,1,,,,1.3,knee,waist,knee,waist,waist,0,
25,20150127,58,85,0,2.1,2.3,1.9,2.4,2.7,shin,shin,shin,,shin,7,83,23,1.1,1.3,0.9,1.4,1.6,ankle,shin,shin,ankle,shin,17,79,17,1.8,1.2,2.2,1.6,1.9,thigh,knee,knee,shin,knee,0,
26,20150220,37,76,7,1.8,1.9,1.6,1.6,1.6,knee,knee,knee,knee,knee,82,29,0,1.8,1.8,2.4,1.7,1.8,knee,,,knee,,63,34,17,1.9,2.3,1.9,1.9,1.7,waist,knee,knee,,knee,0,
27,20150129,68,17,6,2.3,2.2,2.3,2.3,2.4,ankle,,,waist,waist,74,19,23,1.7,1.6,1.4,1.8,1.2,,shin,,shin,thigh,74,30,73,1.9,1.9,3.3,1.7,3.2,thigh,,shin,shin,,0,
28,20150127,15,25,60,,,,,3.1,shin,knee,knee,shin,shin,34,53,60,3.3,2.6,2.8,3.4,2.2,shin,shin,shin,knee,shin,23,57,0,0.7,1.8,2.4,1.7,1.3,shin,shin,shin,shin,shin,0,
30,20150126,78,94,3,0.6,1.7,1.4,1.8,1.2,knee,shin,knee,shin,knee,34,89,16,1.7,2.3,1.9,2.3,2.2,shin,knee,shin,knee,shin,65,72,7,2.2,2.6,1.5,1.8,2.2,knee,knee,knee,knee,knee,0,
32,20150220,74,50,21,19,2.4,1.9,1.9,1.9,knee,knee,knee,,knee,68,56,0,2.2,1.9,1.8,2.1,1.7,knee,knee,knee,knee,knee,84,38,0,2.3,2.5,2.3,2,1.9,knee,knee,knee,knee,knee,0,
33,20150220,57,45,0,2.2,2,2.7,2,1.7,shin,shin,shin,shin,shin,72,40,0,2.5,2.3,1.9,1.7,2,shin,knee,shin,shin,knee,88,29,0,2.7,2,2.3,1.9,2.4,shin,shin,shin,shin,shin,0,
34,20150127,3,80,0,0.2,0.2,0.1,0.3,,shin,waist,shin,shin,knee,5,79,0,0.2,,,0.3,0.1,thigh,knee,waist,waist,knee,11,76,0,1.2,0.4,0.2,,0.2,waist,knee,waist,waist,waist,0,
35,20150127,2,74,0,0.2,0.3,1.4,0.3,1.2,waist,waist,waist,waist,waist,7,86,14,1.5,1.4,1,0.4,1.2,waist,chest,waist,waist,chest,2,84,16,,1.2,1,,,waist,waist,waist,waist,waist,0,
36,20150127,13,84,18,0.2,2,3.2,1.6,1.2,ankle,waist,ankle,ankle,knee,6,90,0,0.3,1.4,0.3,,0.6,waist,ankle,waist,waist,ankle,9,92,14,0.2,1.4,0.3,,,ankle,knee,ankle,ankle,waist,0,
37,20150127,54,67,0,1.7,1.5,0.9,1.3,1.7,waist,waist,waist,waist,waist,14,79,6,1.3,1.1,0.9,,1.4,knee,knee,waist,knee,waist,42,59,0,1.7,2.3,1.9,1.6,1.5,waist,waist,waist,waist,knee,0,
38,20150127,16,92,46,,,2.6,2.3,1.9,waist,waist,waist,thigh,waist,11,100,9,0.3,0.7,1.2,1.8,1.9,knee,knee,knee,knee,waist,26,79,11,,1.9,1.7,1.2,1.3,knee,knee,knee,waist,waist,0,
39,20150127,48,29,34,2,1.8,1.9,2.1,2.2,thigh,knee,knee,,thigh,17,91,16,1.8,1.9,1.4,2.6,1.6,ankle,knee,ankle,knee,waist,7,97,0,0.9,0.4,1.2,0.6,1.3,knee,knee,knee,knee,knee,0,
40,20150127,77,29,8,1.9,1.9,1.9,1.7,1.9,shin,,,,shin,46,48,0,,1.8,1.7,1.7,1.9,knee,knee,,,knee,59,37,4,1.6,1.8,1.7,1.9,1.6,ankle,shin,shin,,,0,
41,20150127,37,52,4,1.8,1.9,1.7,1.8,1.6,shin,shin,shin,shin,shin,44,39,0,1.7,1.4,1.3,1.9,1.6,ankle,ankle,,,ankle,24,52,16,1.1,1.7,1.6,1.8,1.3,shin,shin,ankle,,shin,0,
42,20150127,62,41,33,1.8,2,1.7,1.3,1.9,chest,chest,,chest,chest,79,19,21,2.2,2.1,1.7,2.3,1.6,thigh,waist,thigh,chest,thigh,57,35,11,1.8,1.3,1.6,2,1.9,shin,waist,thigh,shin,shin,0,
43,20150128,2,78,19,,,0.3,,,thigh,thigh,thigh,thigh,thigh,71,62,36,2.4,1.5,1.3,3.2,2.6,thigh,thigh,thigh,thigh,thigh,82,67,44,2.7,3.3,1.7,2.4,1.6,thigh,thigh,thigh,thigh,thigh,0,Limited clearing of Dichrostachys between first visit and veg sampling
44,20150128,54,94,0,2.7,2.9,3.2,1.9,3.3,shin,shin,shin,shin,shin,71,91,6,2.2,2.3,1.9,2.6,2.7,shin,shin,shin,shin,shin,78,86,63,2.2,2.7,2.9,3.2,2,shin,shin,shin,shin,shin,0,
45,20150128,15,92,67,1.9,1.7,1.8,2.3,2.6,shin,shin,knee,shin,shin,61,87,73,1.2,1.4,0.8,1.7,1.9,shin,shin,shin,shin,shin,4,80,78,0.4,1,1.3,0.7,1,knee,knee,shin,knee,knee,0,
46,20150128,0,94,92,,1.4,0.7,,1.4,knee,knee,knee,knee,knee,16,88,79,1.2,2.2,2,2.3,1.9,shin,shin,shin,knee,shin,7,72,56,1.1,1.4,1.3,1.7,1.6,knee,shin,knee,knee,shin,0,
47,20150128,66,84,37,1.6,2.2,2.7,3.2,1.9,thigh,waist,knee,knee,waist,77,85,6,2,2.2,1.8,1.7,2.2,knee,knee,waist,knee,knee,93,45,17,2.2,2.2,2.7,1.9,2.6,,,waist,knee,knee,0,
48,20150129,100,36,29,3.1,3.3,2.9,3.3,3.5,shin,shin,,,thigh,67,17,62,2.6,2.7,3.1,,1.7,knee,knee,knee,,ankle,39,33,57,2.4,2.7,2.9,2.7,2.6,knee,thigh,waist,knee,knee,0,
49,20150129,36,89,63,2.5,2.6,3.2,2.3,3.3,knee,knee,knee,knee,knee,40,79,61,0.5,1.2,2.7,3.2,1.9,thigh,waist,knee,thigh,thigh,56,94,34,1.2,1,1.7,2.7,3.3,waist,waist,,knee,knee,0,
50,20150129,87,56,62,1.3,1.9,2.7,2.9,1.7,waist,chest,waist,waist,waist,17,92,29,2.3,2.7,1.7,2.6,3,waist,waist,chest,waist,chest,83,54,17,2.3,2.1,2,1.9,2.6,knee,knee,knee,,knee,0,
51,20150128,17,78,32,1.2,1.7,2.4,2.4,1.9,knee,knee,knee,knee,knee,59,72,68,2.1,2.9,1.7,2.9,3.4,,knee,knee,thigh,knee,37,76,17,1.7,1.6,2.6,2,1.9,thigh,thigh,knee,waist,knee,0,
52,20150130,11,97,34,1.3,1.5,1.9,1.2,2.2,knee,knee,knee,knee,knee,7,92,88,1,1.3,1.6,,1.3,knee,knee,knee,knee,knee,26,83,68,2.2,2.4,3.1,1.9,2.2,thigh,knee,knee,thigh,knee,0,
53,20150130,26,91,77,0.2,2.2,2.7,1.9,0.9,knee,knee,knee,knee,knee,37,86,35,3.2,1.7,1.2,1.4,2.3,shin,shin,shin,shin,shin,49,96,22,0.9,3.3,3.3,3.3,3.3,thigh,thigh,knee,knee,knee,0,
54,20150130,16,66,17,0.2,1.2,1.2,0.8,1,ankle,,ankle,ankle,ankle,59,48,55,2.2,1.3,3,3.2,2.9,ankle,,shin,knee,,36,79,0,1.7,3.2,3.3,3,2.4,knee,thigh,knee,knee,knee,0,
55,20150130,47,88,36,1.6,2.3,2.6,2.4,2.2,knee,waist,knee,knee,knee,29,92,50,2.9,3.3,2,3.2,2.7,waist,waist,waist,waist,waist,37,79,16,0.3,2.6,2.6,2.4,0.5,knee,knee,ankle,ankle,knee,0,
56,20150130,68,33,33,2.7,2.9,3.2,2.6,2.5,knee,knee,knee,knee,knee,74,54,0,1.2,3.3,3.3,2.9,3.1,shin,shin,thigh,shin,ankle,59,60,22,1.7,2.4,2.7,1.9,1.6,shin,knee,knee,knee,knee,0,
58,20150130,55,40,17,1.3,1.3,1.4,1.7,1.4,waist,waist,waist,waist,waist,26,80,62,1.1,1,1.6,1.8,1.7,thigh,thigh,waist,thigh,thigh,67,28,27,1.2,1.7,1.2,1.8,1.2,knee,knee,,knee,knee,0,
59,20150130,27,74,19,1.2,1.5,1.7,1.9,1.3,ankle,ankle,knee,knee,ankle,15,80,42,2.4,0.8,1.9,3.2,2.6,shin,shin,knee,shin,knee,42,78,62,2.5,2.5,2.6,2.4,1.7,knee,knee,shin,knee,knee,0,
60,20150130,27,65,30,0.3,0.9,2.6,2.4,2.2,shin,shin,ankle,ankle,shin,40,72,38,2.9,2.7,3.3,2.2,1.9,shin,shin,shin,shin,shin,24,79,59,2.2,2.7,2.6,3,2.9,knee,knee,waist,knee,shin,0,
61,20150130,27,86,64,1.7,1.2,3,2,2.4,knee,knee,knee,knee,knee,18,92,17,2.3,1.2,1.3,2.2,2.7,knee,knee,knee,waist,knee,29,68,16,1,2.2,1.3,1.2,1.3,shin,shin,shin,knee,shin,0,
62,20150223,63,54,49,3.5,3.5,2.4,1.7,2.2,knee,,,knee,knee,79,66,17,3.5,3.1,3.2,3.2,2.9,knee,knee,knee,knee,knee,68,59,30,0.5,3.5,3.5,3.5,2.4,knee,shin,shin,shin,knee,0,
63,20150223,100,7,7,3.5,3.5,3.5,3.5,3.5,shin,shin,,shin,shin,100,29,0,3.5,3.5,3.5,3.5,3.5,shin,shin,shin,shin,shin,100,17,0,3.5,3.5,3.5,3.5,3.5,shin,shin,shin,shin,shin,0,
