GPSpt,Date,SH1,SH1out,G1,G1out,T1,T1out,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,SH2,SH2out,G2,G2out,T2,T2out,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,SH3,SH3out,G3,G3out,T3,T3out,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,Notes
24,20160111,8,29,17,31,24,67,0,0,3.7,1.2,1.6,1.9,1.7,1.7,1.9,0.9,0,0,25,25,10,25,25,10,10,25,17,13,71,67,21,4,0.3,1.7,1.4,0.9,1.8,0.2,1.1,1.1,1.3,0.9,25,50,25,25,50,50,50,25,25,50,6,3,16,42,27,31,0.2,0.8,1.2,1.6,0.7,1.1,1.4,0.9,1.3,2,10,25,10,25,10,10,10,50,50,25,teak
26,20160111,84,78,31,34,0,16,2.2,1.7,2.4,1.6,1.9,2,1.7,2.3,2.6,1.9,25,25,25,50,10,50,50,25,25,10,65,71,46,57,17,0,1.6,1.2,1.4,1.8,1.6,2.6,1.7,1.9,1.4,1.7,10,10,25,25,50,10,10,10,25,25,64,59,68,59,6,0,2.4,2.2,2.6,1.9,2.7,2.2,1.4,1.4,1.2,2.2,25,25,10,10,25,10,25,25,25,25,teak
27,20160111,84,48,31,60,24,17,2.2,1.9,2.4,2.1,1.7,1.9,0.6,1.7,1.4,1.2,25,25,10,25,25,50,50,25,50,50,37,18,21,43,75,40,2.4,1.7,1.3,1.5,1.2,1.6,1.7,0.3,1.1,2.2,10,10,10,25,10,25,25,50,25,50,79,91,16,20,12,9,3.3,2.7,2.2,2.6,1.9,1.7,1.9,2.2,2.4,2.1,25,25,10,25,25,25,10,10,25,10,teak
33,20160111,66,62,17,24,0,0,2.3,2.4,0.9,2.7,2.2,1.6,1.4,2.3,2.2,2.5,25,10,10,10,10,25,25,10,10,25,92,87,21,29,16,0,2.7,1.9,2.1,2,2.3,1.8,1.8,1.5,1.9,2,10,10,10,25,10,10,10,25,25,10,86,79,16,37,18,12,3.3,3.1,2.4,1.7,1.6,1.8,1.9,2.2,2.4,1.9,10,10,10,10,10,25,25,50,25,25,teak
34,20160111,16,9,94,97,0,0,1.4,1.7,1.9,0.6,0.2,0.4,1.2,0.5,1.1,1.3,50,50,25,25,50,50,50,50,25,25,7,16,66,37,19,43,0.7,1.3,0.4,1.2,0.9,0.7,0.3,0.4,1.9,0.9,80,50,50,25,25,25,50,50,50,25,7,21,46,59,31,36,0.7,1.7,1.8,1.3,0.3,1.7,1.4,2.1,1.9,1.6,0,50,50,10,25,50,50,25,25,25,sicklebush
35,20160111,11,13,49,54,17,19,2.5,1.9,0.7,0.3,1.9,2.3,2.7,1.4,0.7,0.2,10,10,25,25,10,25,25,10,25,25,3,11,16,46,13,9,0.5,1.7,0.3,1.3,0.7,0.9,1.4,1.4,1.6,1.6,25,25,25,0,50,50,50,25,25,25,8,29,37,41,17,4,0.4,1.3,1.5,0.3,1.7,1.9,1.7,1.7,0.7,1.9,25,25,50,25,25,50,50,25,25,25,sicklebush
36,20160111,3,17,79,57,0,0,0,0.4,0.9,0.9,0.3,1.2,1,3.1,2.6,1.9,0,25,25,25,25,25,25,25,50,25,16,73,49,36,0,11,0.4,0.7,1.3,1.3,0.5,1.3,3.3,3.1,3.4,3.1,10,25,25,10,25,25,25,25,0,0,17,11,74,79,3,14,0.2,0.3,1.2,2.2,1.7,1.6,0.4,0.9,1.3,1.1,0,0,50,25,25,25,25,50,50,25,sicklebush
40,20160111,82,79,16,11,3,17,2.2,2.4,2.3,2.3,1.9,1.6,1.9,2.2,2.2,2.2,0,0,0,10,10,25,25,10,0,25,66,74,33,37,17,19,2.1,0.2,2.3,2.3,2.2,0.6,2.3,2.3,1.9,2.4,10,10,25,25,10,10,25,25,25,10,76,60,29,34,22,61,1.3,2.3,1.9,2.4,2.6,1.6,1.4,1.3,2,1.9,10,25,10,10,25,10,10,10,25,50,teak
43,20160111,87,94,67,73,41,54,0.4,3.4,2.9,3.1,3.3,3.3,3.5,2.9,3.1,3.3,10,25,25,25,25,25,25,25,50,25,18,19,94,91,32,44,0.5,1.3,0.3,1.6,1.6,0.7,1.2,0.7,0.5,0.3,25,25,50,25,25,25,25,25,25,25,21,16,70,59,17,21,1,1.2,1.2,1.9,1,0.7,1.3,1.1,2,1.7,10,10,25,25,10,10,10,25,25,25,sicklebush
44,20160111,42,94,6,18,6,16,1.9,0,2.6,2.6,2.3,2.5,2.5,2.6,2.7,2.3,0,0,0,10,10,10,10,25,25,10,12,79,4,19,29,19,0.2,0.2,0.6,3.1,3.2,2.6,2.2,2.3,2.5,2,0,0,0,25,25,25,25,10,25,25,9,21,3,11,27,22,0.3,0.3,2.3,0.3,0.4,2.6,2.1,3,2.9,1.7,0,0,0,10,10,10,10,25,25,10,sicklebush
