GPSpt,Treated,Date,Time,Species,NumIn,NumOut,Total,BreedNotes
26,1,20160109,513,Dark-capped Bulbul,3,,3,
26,1,20160109,513,Fork-tailed Drongo,,1,1,
26,1,20160109,513,Yellow-fronted Canary,2,,2,
26,1,20160109,513,Rattling Cisticola,1,,1,
26,1,20160109,513,Tawny-flanked Prinia,,1,1,
26,1,20160109,513,Golden-breasted Bunting,,1,1,
26,1,20160109,513,Orange-breasted Bushshrike,,1,1,
26,1,20160109,513,Burchells Coucal,,1,1,
26,1,20160109,513,Black-crowned Tchagra,,1,1,
27,1,20160109,533,Yellow-fronted Canary,3,,3,
27,1,20160109,533,Kurrichane Thrush,,1,1,
27,1,20160109,533,Golden-breasted Bunting,1,,1,
27,1,20160109,533,Common Scimitarbill,,1,1,
27,1,20160109,533,Burchells Coucal,1,,1,
27,1,20160109,533,Dark-capped Bulbul,2,,2,
27,1,20160109,533,Speckled Mousebird,1,,1,
27,1,20160109,533,Chinspot Batis,,1,1,
27,1,20160109,533,Violet-backed Starling,,1,1,
27,1,20160109,533,Yellow-breasted Apalis,2,,2,
27,1,20160109,533,Red-eyed Dove,,1,1,
27,1,20160109,533,Tawny-flanked Prinia,1,,1,
27,1,20160109,533,African Paradise Flycatcher,1,,1,
27,1,20160109,533,Fork-tailed Drongo,1,,1,
27,1,20160109,533,Cape Turtle Dove,,1,1,
27,1,20160109,533,Rattling Cisticola,1,,1,
27,1,20160109,533,Brown-crowned Tchagra,,1,1,
27,1,20160109,533,Cardinal Woodpecker,1,,1,
27,1,20160109,533,Black-backed Puffback,2,,2,
27,1,20160109,533,Black-headed Oriole,,1,1,
35,1,20160109,558,Yellow-fronted Canary,2,,2,
35,1,20160109,558,Bearded Woodpecker,,1,1,
35,1,20160109,558,Little Swift,,3,3,
35,1,20160109,558,Chinspot Batis,,1,1,
35,1,20160109,558,Black-crowned Tchagra,,1,1,
35,1,20160109,558,Rattling Cisticola,2,,2,
35,1,20160109,558,Brubru,,1,1,
35,1,20160109,558,Orange-breasted Bushshrike,,1,1,
35,1,20160109,558,Long-billed Crombec,,1,1,
35,1,20160109,558,Woodland Kingfisher,,1,1,
35,1,20160109,558,Dideric Cuckoo,,1,1,
36,0,20160109,614,Black-crowned Tchagra,1,,1,
36,0,20160109,614,Southern Black Tit,2,,2,
36,0,20160109,614,Black Cuckooshrike,,1,1,
36,0,20160109,614,Yellow-fronted Canary,3,,3,
36,0,20160109,614,Emerald-spotted Wood Dove,1,,1,
36,0,20160109,614,Rattling Cisticola,1,,1,
36,0,20160109,614,Black-headed Oriole,,1,1,
36,0,20160109,614,Eastern Nicator,,1,1,
36,0,20160109,614,Cape Glossy Starling,,1,1,
36,0,20160109,614,Blue Waxbill,,1,1,
36,0,20160109,614,Dark-capped Bulbul,2,,2,
36,0,20160109,614,Golden-breasted Bunting,1,,1,
36,0,20160109,614,Black-backed Puffback,,,0,
36,0,20160109,614,Brubru,1,,1,
60,1,20160109,645,Klaass Cuckoo,,1,1,
60,1,20160109,645,Dark-capped Bulbul,3,,3,
60,1,20160109,645,Sombre Greenbul,,1,1,
60,1,20160109,645,Green-backed Camaroptera,,1,1,
60,1,20160109,645,African Paradise Flycatcher,2,,2,
60,1,20160109,645,African Green Pigeon,,1,1,
60,1,20160109,645,Blue Waxbill,1,,1,
60,1,20160109,645,White-bellied Sunbird,1,,1,
60,1,20160109,645,Black-headed Oriole,,1,1,
60,1,20160109,645,Yellow-throated Petronia,1,,1,
60,1,20160109,645,Golden-breasted Bunting,1,,1,
60,1,20160109,645,Yellow-fronted Canary,2,,2,
60,1,20160109,645,Brubru,,1,1,
53,0,20160109,703,Black-headed Oriole,,1,1,
53,0,20160109,703,Yellow-fronted Canary,2,,2,
53,0,20160109,703,Violet-backed Starling,1,,1,
